Epizod,Nagroda,Maksymalna Pozycja,Kroki do Celu
0,-0.1,0.9861329197883606,998
1,-0.00013876053,0.9861329197883606,1997
2,-0.0057719615,0.9861329197883606,948
3,-0.046811268,0.9861329197883606,1947
4,-0.0013809862,0.9861329197883606,898
5,-0.01180429,0.9861329197883606,1897
6,-0.003015428,0.9861329197883606,848
7,-0.1,0.9861329197883606,1847
8,-0.05576864,0.9861329197883606,798
9,-0.015827125,0.9861329197883606,1797
10,-0.0016056175,0.9861329197883606,748
11,99.9,0.9861329197883606,1676
12,99.9,0.9861329197883606,592
13,-0.0011593506,0.9861329197883606,1591
14,99.96751,0.9861329197883606,130
15,99.99935,0.9861329197883606,620
16,99.99168,0.9861329197883606,1031
17,99.98849,0.9861329197883606,1477
18,99.96847,0.9861329197883606,1950
19,99.93396,0.9861329197883606,538
20,99.99482,0.9861329197883606,977
21,99.914085,0.9861329197883606,1420
22,99.999886,0.9861329197883606,1985
23,99.98529,0.9861329197883606,204
24,99.97365,0.9861329197883606,693
25,99.97831,0.9861329197883606,1265
26,99.972084,0.9861329197883606,1870
27,99.9441,0.9861329197883606,214
28,99.9,0.9861329197883606,790
29,99.99657,0.9861329197883606,1100
30,99.96397,0.9861329197883606,1518
31,99.99991,0.9861329197883606,1907
32,99.99958,0.9861329197883606,212
33,99.94958,0.9861329197883606,519
34,99.99835,0.9861329197883606,746
35,99.99657,0.9861329197883606,969
36,99.9,0.9861329197883606,1199
37,99.9,0.9861329197883606,1498
38,99.9,0.9861329197883606,1890
39,99.99813,0.9861329197883606,99
40,99.92906,0.9861329197883606,340
41,99.91848,0.9861329197883606,529
42,99.97503,0.9861329197883606,781
43,99.99587,0.9861329197883606,1129
44,99.9,0.9861329197883606,1367
45,99.9,0.9861329197883606,1685
46,99.98008,0.9861329197883606,1958
47,99.99407,0.9861329197883606,257
48,99.95622,0.9861329197883606,525
49,99.99999,0.9861329197883606,798
50,99.9,0.9861329197883606,1032
51,99.9947,0.9861329197883606,1268
52,99.99063,0.9861329197883606,1491
53,99.965546,0.9861329197883606,1797
54,99.9,0.9861329197883606,79
55,99.99993,0.9861329197883606,350
56,99.96887,0.9861329197883606,504
57,99.99889,0.9861329197883606,738
58,99.98474,0.9861329197883606,1017
59,99.9,0.9861329197883606,1252
60,99.9,0.9861329197883606,1486
61,99.975815,0.9861329197883606,1677
62,99.99119,0.9861329197883606,1899
63,99.94273,0.9861329197883606,3
64,99.97319,0.9861329197883606,261
65,99.99818,0.9861329197883606,471
66,99.94743,0.9861329197883606,751
67,99.9,0.9861329197883606,1098
68,99.99779,0.9861329197883606,1414
69,99.98216,0.9861329197883606,1657
70,99.90029,0.9861329197883606,1918
71,99.96978,0.9861329197883606,101
72,99.9,0.9861329197883606,338
73,99.9,0.9861329197883606,633
74,99.906105,0.9861329197883606,1043
75,99.967834,0.9861329197883606,1433
76,99.9995,0.9861329197883606,1712
77,99.9,0.9861329197883606,1967
78,99.93969,0.9861329197883606,212
79,99.9,0.9861329197883606,368
80,99.99381,0.9861329197883606,606
81,99.97195,0.9861329197883606,917
82,99.970604,0.9861329197883606,1227
83,99.92833,0.9861329197883606,1418
84,99.99201,0.9861329197883606,1643
85,99.99989,0.9861329197883606,1819
86,99.9,0.9861329197883606,1982
87,99.99622,0.9861329197883606,161
88,99.92695,0.9861329197883606,393
89,99.96509,0.9861329197883606,588
90,99.99361,0.9861329197883606,718
91,99.960625,0.9861329197883606,1037
92,99.9,0.9861329197883606,1190
93,99.976265,0.9861329197883606,1396
94,99.993546,0.9861329197883606,1649
95,99.909615,0.9861329197883606,1805
96,99.99567,0.9861329197883606,2031
97,99.93651,0.9861329197883606,177
98,99.9,0.9861329197883606,332
99,99.994644,0.9861329197883606,528
100,99.93474,0.9861329197883606,686
101,99.9,0.9861329197883606,966
