Epizod,Nagroda,Maksymalna Pozycja,Kroki do Celu
0,-0.036737908,-0.19188928604125977,-1
1,-0.040459074,-0.04279128834605217,-1
2,-0.041366443,-0.04279128834605217,-1
3,-0.1,-0.04279128834605217,-1
4,-0.050053723,0.6026306748390198,898
5,-0.06487358,0.6026306748390198,1897
6,-0.0054789763,0.6026306748390198,848
7,99.99932,0.6026306748390198,1662
8,-0.078859136,0.6026306748390198,613
9,-0.051664818,0.6026306748390198,1612
10,-0.04574593,0.6026306748390198,563
11,-0.00406698,0.6026306748390198,1562
12,-0.06806647,0.6026306748390198,513
13,-0.0012904151,0.6026306748390198,1512
14,-0.025643213,0.6026306748390198,463
15,-0.051896658,0.6026306748390198,1462
16,-0.1,0.6026306748390198,413
17,-0.009663502,0.6026306748390198,1412
18,-0.1,0.6026306748390198,363
19,99.967766,0.6026306748390198,1329
20,-0.0005504788,0.6026306748390198,280
21,-0.08720207,0.6026306748390198,1279
22,-0.08075314,0.6026306748390198,230
23,99.97041,0.6026306748390198,1069
24,99.96407,0.6026306748390198,1736
25,99.96934,0.6026306748390198,254
26,99.99848,0.6026306748390198,986
27,99.97748,0.6026306748390198,1505
28,99.9,0.6026306748390198,228
29,99.95857,0.6026306748390198,668
30,99.97525,0.6026306748390198,1298
31,99.9,0.6026306748390198,1774
32,99.97217,0.6026306748390198,114
33,99.909096,0.6026306748390198,772
34,99.99776,0.6026306748390198,1097
35,99.958244,0.6026306748390198,1508
36,99.99851,0.6026306748390198,1976
37,100.0,0.6026306748390198,745
38,99.9,0.6026306748390198,1178
39,99.99999,0.6026306748390198,1601
40,99.955055,0.6026306748390198,2019
41,99.9,0.6026306748390198,418
42,99.99444,0.6026306748390198,629
43,99.94086,0.6026306748390198,1066
44,99.99863,0.6026306748390198,1348
45,99.99893,0.6026306748390198,1647
46,99.98813,0.6026306748390198,1948
47,99.99276,0.6026306748390198,362
48,99.99962,0.6026306748390198,680
49,99.99643,0.6026306748390198,946
50,99.956375,0.6026306748390198,1455
51,99.99577,0.6026306748390198,1771
52,99.949875,0.6026306748390198,2008
53,99.9679,0.6026306748390198,131
54,99.9,0.6026306748390198,431
55,99.9,0.6026306748390198,692
56,99.94783,0.6026306748390198,931
57,99.9,0.6026306748390198,1235
58,99.99964,0.6026306748390198,1780
59,99.97933,0.6026306748390198,10
60,99.92428,0.6026306748390198,469
61,99.98702,0.6026306748390198,635
62,99.90837,0.6026306748390198,901
63,99.9901,0.6026306748390198,1296
64,99.9998,0.6026306748390198,1464
65,99.99954,0.6026306748390198,1814
66,99.940155,0.6026306748390198,92
67,99.9,0.6026306748390198,378
68,99.99944,0.6026306748390198,680
69,99.9767,0.6026306748390198,985
70,99.990685,0.6026306748390198,1260
71,99.9,0.6026306748390198,1615
72,99.98914,0.6026306748390198,1907
73,99.993546,0.6026306748390198,142
74,99.9,0.6026306748390198,334
75,99.99924,0.6026306748390198,528
76,99.95787,0.6026306748390198,719
77,99.97453,0.6026306748390198,1022
78,99.981064,0.6026306748390198,1306
79,99.9,0.6026306748390198,1529
80,99.95968,0.6026306748390198,1794
81,99.984085,0.6026306748390198,111
82,99.998,0.6026306748390198,420
83,99.99031,0.6026306748390198,643
84,99.99969,0.6026306748390198,828
85,99.99089,0.6026306748390198,1105
86,99.97677,0.6026306748390198,1316
87,99.9,0.6026306748390198,1523
88,99.9,0.6026306748390198,1838
89,99.9,0.6026306748390198,32
90,99.960754,0.6026306748390198,451
91,99.95223,0.6026306748390198,683
92,99.9,0.6026306748390198,1023
93,99.9,0.6026306748390198,1271
94,99.99915,0.6026306748390198,1456
95,99.9,0.6026306748390198,1645
96,99.98636,0.6026306748390198,1870
97,100.0,0.6026306748390198,2018
98,99.97132,0.6026306748390198,168
99,99.92553,0.6026306748390198,362
100,99.92851,0.6026306748390198,516
101,99.9,0.6026306748390198,745
102,99.978645,0.6026306748390198,960
103,99.99942,0.6026306748390198,1153
104,99.92844,0.6026306748390198,1393
105,99.99373,0.6026306748390198,1581
106,99.99778,0.6026306748390198,1867
107,99.94851,0.6026306748390198,11
108,99.9,0.6026306748390198,225
109,99.99971,0.6026306748390198,377
110,99.9,0.6026306748390198,530
111,99.9,0.6026306748390198,698
112,99.96378,0.6026306748390198,840
113,99.9,0.6026306748390198,1072
114,99.90425,0.6026306748390198,1265
115,99.924225,0.6026306748390198,1472
116,99.9,0.6026306748390198,1646
117,99.9,0.6026306748390198,1794
118,99.92338,0.6026306748390198,1912
119,99.959946,0.6026306748390198,56
120,99.944664,0.6026306748390198,233
121,99.9,0.6026306748390198,484
122,99.97427,0.6026306748390198,639
123,99.9,0.6026306748390198,791
124,99.9,0.6026306748390198,978
125,99.99006,0.6026306748390198,1213
126,99.97613,0.6026306748390198,1425
127,99.99255,0.6026306748390198,1581
128,99.99035,0.6026306748390198,1768
129,99.99655,0.6026306748390198,1883
130,99.97977,0.6026306748390198,37
131,99.9,0.6026306748390198,304
132,99.9,0.6026306748390198,451
133,99.988815,0.6026306748390198,569
134,99.90176,0.6026306748390198,787
135,99.997025,0.6026306748390198,899
136,99.99979,0.6026306748390198,1045
137,99.98743,0.6026306748390198,1213
138,99.98691,0.6026306748390198,1397
139,99.91651,0.6026306748390198,1554
140,99.9618,0.6026306748390198,1672
141,99.99982,0.6026306748390198,1857
142,99.9,0.6026306748390198,41
143,99.96453,0.6026306748390198,180
144,99.903885,0.6026306748390198,328
145,99.9,0.6026306748390198,472
146,99.9974,0.6026306748390198,588
147,99.9,0.6026306748390198,828
148,99.96951,0.6026306748390198,944
149,99.9,0.6026306748390198,1057
150,99.9,0.6026306748390198,1205
151,99.96653,0.6026306748390198,1348
152,99.9,0.6026306748390198,1584
153,99.93047,0.6026306748390198,1693
154,99.996796,0.6026306748390198,1812
155,99.9,0.6026306748390198,1978
156,99.9,0.6026306748390198,39
157,99.9,0.6026306748390198,243
158,99.9,0.6026306748390198,396
159,99.9,0.6026306748390198,509
160,99.9,0.6026306748390198,690
161,99.9,0.6026306748390198,805
162,99.9,0.6026306748390198,924
163,99.93599,0.6026306748390198,1045
164,99.964554,0.6026306748390198,1221
165,99.96451,0.6026306748390198,1368
166,99.9,0.6026306748390198,1513
167,99.9,0.6026306748390198,1723
168,99.968895,0.6026306748390198,1830
169,99.9,0.6026306748390198,1977
170,99.990166,0.6026306748390198,46
171,99.9,0.6026306748390198,182
172,99.9,0.6026306748390198,326
173,99.9,0.6026306748390198,469
174,99.972336,0.6026306748390198,613
175,99.95232,0.6026306748390198,759
176,99.9,0.6026306748390198,934
177,99.9,0.6026306748390198,1110
178,99.9254,0.6026306748390198,1304
179,99.96842,0.6026306748390198,1504
180,99.9,0.6026306748390198,1691
181,99.9,0.6026306748390198,1836
182,99.95998,0.6026306748390198,1964
183,99.96198,0.6026306748390198,57
184,99.92959,0.6026306748390198,194
185,99.90927,0.6026306748390198,348
186,99.9,0.6026306748390198,498
187,99.9,0.6026306748390198,651
188,99.9,0.6026306748390198,792
189,99.98579,0.6026306748390198,876
190,99.92202,0.6026306748390198,1073
191,99.9,0.6026306748390198,1167
192,99.93733,0.6026306748390198,1313
193,99.92422,0.6026306748390198,1452
194,99.99926,0.6026306748390198,1560
195,99.987045,0.6026306748390198,1646
196,99.9,0.6026306748390198,1798
197,99.978004,0.6026306748390198,1909
198,99.991135,0.6026306748390198,37
199,99.9,0.6026306748390198,175
200,99.992325,0.6026306748390198,283
201,99.9,0.6026306748390198,400
202,99.9,0.6026306748390198,542
203,99.999985,0.6026306748390198,620
204,99.9,0.6026306748390198,739
205,99.9,0.6026306748390198,848
206,99.9,0.6026306748390198,961
207,99.9,0.6026306748390198,1080
208,99.913185,0.6026306748390198,1185
209,99.96599,0.6026306748390198,1329
210,99.911606,0.6026306748390198,1445
211,99.9,0.6026306748390198,1555
212,99.97672,0.6026306748390198,1646
213,99.9,0.6026306748390198,1759
214,99.92277,0.6026306748390198,1876
215,99.99022,0.6026306748390198,2009
216,99.926735,0.6026306748390198,37
217,99.9,0.6026306748390198,188
218,99.96546,0.6026306748390198,273
219,99.98623,0.6026306748390198,406
220,99.952866,0.6026306748390198,554
221,99.9131,0.6026306748390198,704
222,99.9,0.6026306748390198,826
